Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11780552_1	(1.0, 38.025961426839665)	(2.0, 15.752918292876508)	(3.0, 7.96171203712883)	(4.0, 4.701221009601415)	(5.0, 3.1583575075334656)	(6.0, 2.3617072395121834)	(7.0, 1.8219136658208825)	(8.0, 1.4605109288662665)	(9.0, 1.2414272103203552)	('>10', 13.339189064100287)	('>50', 3.9237843502842913)	('>100', 5.135891161907657)	('>500', 0.6908556259163946)	('>1k', 0.3032994466433906)	('>5k', 0.0)	('>10k+', 0.12125103264862482)
SRR11780552_2	(1.0, 39.15554355992458)	(2.0, 15.609097898970372)	(3.0, 7.745519509313797)	(4.0, 4.580212410478608)	(5.0, 3.0827031810923478)	(6.0, 2.2537095033692744)	(7.0, 1.7354319346016487)	(8.0, 1.4115066224642692)	(9.0, 1.2380730920015872)	('>10', 13.379310943531861)	('>50', 3.6903191102425468)	('>100', 5.093228723813821)	('>500', 0.6544841520556193)	('>1k', 0.27676169605978684)	('>5k', 0.03266460038740346)	('>10k+', 0.06143306169245398)
SRR11780553_1	(1.0, 36.90623405516417)	(2.0, 15.910263254237067)	(3.0, 8.235467837707173)	(4.0, 5.0092764247243755)	(5.0, 3.4044964080800684)	(6.0, 2.403751694319817)	(7.0, 1.9276428949897588)	(8.0, 1.5092984610449893)	(9.0, 1.2606331165085485)	('>10', 13.384369891626138)	('>50', 3.7972430910455586)	('>100', 5.0980593258181575)	('>500', 0.654620847799796)	('>1k', 0.29756983878941246)	('>5k', 0.0)	('>10k+', 0.2010728581448547)
SRR11780553_2	(1.0, 39.39041616727211)	(2.0, 15.584027376521945)	(3.0, 8.009061191394832)	(4.0, 4.638593255578775)	(5.0, 3.2079696806927536)	(6.0, 2.352470323541396)	(7.0, 1.8241407507736815)	(8.0, 1.4514903492487161)	(9.0, 1.2206890596037956)	('>10', 12.744687767059762)	('>50', 3.7523154968263444)	('>100', 4.8040660789129035)	('>500', 0.6358213211577042)	('>1k', 0.2651946120707846)	('>5k', 0.0)	('>10k+', 0.11905656934449294)
SRR11780554_1	(1.0, 35.94177620316113)	(2.0, 15.62476224953475)	(3.0, 8.183856105145773)	(4.0, 4.850626702540928)	(5.0, 3.2327776774461072)	(6.0, 2.3941550525264743)	(7.0, 1.9881928669082294)	(8.0, 1.5875164887255167)	(9.0, 1.3556192311167443)	('>10', 14.42351348804608)	('>50', 4.17961233778301)	('>100', 5.237521391280561)	('>500', 0.5896682995592769)	('>1k', 0.2576979923408977)	('>5k', 0.0)	('>10k+', 0.1527039138845112)
SRR11780554_2	(1.0, 37.945452012218134)	(2.0, 15.382320934345332)	(3.0, 7.878327477584521)	(4.0, 4.699030096483937)	(5.0, 3.1905242361032156)	(6.0, 2.3237937559255566)	(7.0, 1.8846281980673765)	(8.0, 1.5113329539135811)	(9.0, 1.3052983534846714)	('>10', 13.967442450884635)	('>50', 3.9186130863167405)	('>100', 5.084910348493089)	('>500', 0.5824845429037698)	('>1k', 0.2272846534006398)	('>5k', 0.019122107608926426)	('>10k+', 0.07943479226571806)
SRR11780556_1	(1.0, 40.00804271076433)	(2.0, 15.647167801182071)	(3.0, 7.710043343282293)	(4.0, 4.463608877126192)	(5.0, 2.906829498316784)	(6.0, 2.0734476479823414)	(7.0, 1.6069717475595588)	(8.0, 1.2819135632652876)	(9.0, 1.0382769155294027)	('>10', 9.799214025486348)	('>50', 2.825237972228084)	('>100', 5.96590830939103)	('>500', 2.0700522238383883)	('>1k', 2.3689621699796928)	('>5k', 0.07796744536735861)	('>10k+', 0.15635574870080438)
SRR11780556_2	(1.0, 41.48470829551542)	(2.0, 15.361338989548024)	(3.0, 7.421252618890227)	(4.0, 4.346250125239783)	(5.0, 2.821240079872699)	(6.0, 2.1300509210784524)	(7.0, 1.5834199388482781)	(8.0, 1.1859664342832534)	(9.0, 0.9280476577050004)	('>10', 9.628171127602851)	('>50', 2.8021552798017004)	('>100', 5.87277671825123)	('>500', 2.093809133195606)	('>1k', 2.195454503197249)	('>5k', 0.06582606447052719)	('>10k+', 0.07953211249971238)
SRR11780558_1	(1.0, 37.25340339998209)	(2.0, 15.758999132763819)	(3.0, 7.962794381280124)	(4.0, 4.868652038633134)	(5.0, 3.375689775576577)	(6.0, 2.48645596855231)	(7.0, 1.9556939575548011)	(8.0, 1.5597159456985323)	(9.0, 1.3237771980543103)	('>10', 13.599970632770908)	('>50', 3.627193202404884)	('>100', 5.0861907428694355)	('>500', 0.7175659323179814)	('>1k', 0.29162983408985044)	('>5k', 0.0)	('>10k+', 0.13226785745135547)
SRR11780558_2	(1.0, 38.20173147401976)	(2.0, 15.64123182876576)	(3.0, 7.711316579694246)	(4.0, 4.866867212987733)	(5.0, 3.3708194408913745)	(6.0, 2.476816622778775)	(7.0, 1.9752390804128912)	(8.0, 1.5314816055479776)	(9.0, 1.2479101137457842)	('>10', 13.40551506706669)	('>50', 3.652841411323641)	('>100', 4.943219070224788)	('>500', 0.6817206605032733)	('>1k', 0.25157431337525854)	('>5k', 0.0)	('>10k+', 0.04171551866208188)
